NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CDK1	14	0.38188838958740234	0.022167642	Yes	
row_1	MDH1	52	0.3356802761554718	0.03752047	Yes	
row_2	CS	120	0.3099171817302704	0.043984406	Yes	
row_3	IDH2	134	0.30620718002319336	0.066448346	Yes	
row_4	ETFB	163	0.29890549182891846	0.084467836	Yes	
row_5	COX10	279	0.27925917506217957	0.07670955	Yes	
row_6	COX7B	293	0.27731603384017944	0.09917349	Yes	
row_7	SUCLG1	370	0.2674916982650757	0.102970764	Yes	
row_8	VCP	544	0.24864909052848816	0.07802729	Yes	
row_9	CCNB1	664	0.2379988580942154	0.069083825	Yes	
row_10	NDUFA4	813	0.22380195558071136	0.051547766	Yes	
row_11	SUCLG2	866	0.21942351758480072	0.06245615	Yes	
row_12	NDUFB8	891	0.21742810308933258	0.08166083	Yes	
row_13	NDUFS2	901	0.21666944026947021	0.10530995	Yes	
row_14	PARK7	921	0.21481627225875854	0.12599611	Yes	
row_15	NDUFAB1	939	0.21390396356582642	0.14727487	Yes	
row_16	CYC1	978	0.21127688884735107	0.16233139	Yes	
row_17	COX8A	1058	0.2041138857603073	0.16523978	Yes	
row_18	BNIP3	1069	0.20366528630256653	0.1885926	Yes	
row_19	DGUOK	1128	0.1992073804140091	0.19772321	Yes	
row_20	NDUFA13	1144	0.19798927009105682	0.21959455	Yes	
row_21	UQCRQ	1153	0.1975174993276596	0.24353997	Yes	
row_22	PPARGC1A	1173	0.1954251527786255	0.26422614	Yes	
row_23	NDUFB7	1185	0.19460953772068024	0.28728268	Yes	
row_24	NDUFV3	1202	0.1936284601688385	0.3088577	Yes	
row_25	NDUFS8	1209	0.1930149793624878	0.33339572	Yes	
row_26	NDUFB6	1227	0.1916351467370987	0.3546745	Yes	
row_27	NDUFA6	1242	0.19021925330162048	0.3768421	Yes	
row_28	NDUFB2	1289	0.18633189797401428	0.38952827	Yes	
row_29	COX5B	1327	0.18175658583641052	0.40488112	Yes	
row_30	NDUFA2	1332	0.18127284944057465	0.43001172	Yes	
row_31	MTFR1L	1416	0.1750166267156601	0.43173492	Yes	
row_32	NDUFA8	1422	0.17450805008411407	0.45656922	Yes	
row_33	NDUFS5	1438	0.1729549616575241	0.47844055	Yes	
row_34	SHMT2	1557	0.1580398827791214	0.46979338	No	
row_35	SNCA	1768	0.12051795423030853	0.43388695	No	
row_36	NDUFA11	1840	0.10132666677236557	0.4391657	No	
row_37	CBFA2T3	1944	0.0650157630443573	0.434963	No	
