"","V1","V2","V3","V4","V5"
"MIF-AS1",0.369605071868432,0.282439952194633,0.0505351730749724,-1.91041046159736,-0.954175235214391
"AL138963.4",0.204231181903088,0.2825517923177,-0.353607879922364,-1.37006012691036,-0.798517556112132
"AP003352.1",-0.233705699065579,0.0117567216211464,-0.754614165433648,-1.48946578268937,-1.1771575671663
"U47924.2",-1.08541476601838,-0.388083842814374,-1.54203603940935,0.200692115816474,-0.34530002445565
"ATG10",0.165726873560709,0.194990467402829,-0.175163016305652,-1.49217296371154,-0.872755729229098
"JSRP1",-0.616490324720282,-0.242134743586918,-1.08613427681646,-0.425779827885048,-0.753195094064444
"ABCB9",-0.509334973588666,-0.143082120557818,-0.890365183096329,-0.560042019091164,-0.569925384824984
"CDKN2B-AS1",-0.520779048549783,-0.0679612292425462,-0.809427043361378,-0.0618815774040005,-0.0707017230051927
"SNX32",-0.295464479741588,-0.114168277595304,-0.506606247551762,-0.713383351049618,-0.568805643070482
"EME2",0.312409988375004,0.256591125245524,0.106256578867479,-1.32536749822755,-0.606471914525332
"NOP16",-0.189526063709443,0.0381579568430236,-0.513548442953293,-0.627018233678456,-0.585525513997272
"ENO3",0.0767884544000354,0.132808900184278,-0.145758902513571,-0.932603924890087,-0.388828154420339
"DCAF6",-0.491464437622186,-0.0607408933940666,-0.686054383345361,-0.0733919318247881,-0.0505031501594237
"PRR19",-0.687403062188028,-0.232688875251069,-0.99075049729565,0.0251654824446249,-0.306830381351246
"AC073896.2",-0.320487263986988,-0.0832496773041535,-0.632182380180573,-0.415076439360276,-0.520966400927572
"AC010761.1",0.0210338591069583,0.0753066832277937,-0.189672714214425,-0.828165154472094,-0.499385713042189
"AC004882.3",0.128093445732014,0.161299596318164,-0.131269096837112,-0.97624786269901,-0.472618838779564
"WDR83",-0.477783111438223,-0.19709122482568,-0.697067163413543,-0.215984173311163,-0.439909731967156
"TMED2-DT",-0.376590261781572,-0.063796922530103,-0.547763465175628,-0.332651457441592,-0.437574841806183
"AC005329.3",-0.109608951295803,0.0384658932500285,-0.313696627077817,-0.649337570511529,-0.484964563975145
"SRRM5",-0.616524247896085,-0.256606980873569,-0.829461712588961,0.0224066103250504,-0.391190867507284
"AC011511.2",0.0140453913124693,0.00840257215666604,-0.23371922271119,-0.686299217663334,-0.481862677566348
"UXT-AS1",-0.384883372538239,-0.150974564748001,-0.651161745973166,-0.133543985912925,-0.309903685502904
"AC009088.2",-0.433063910697268,-0.206395117945175,-0.596764965920546,-0.187735601433543,-0.34703333786835
"AL391650.1",0.0722179066398255,0.0358870681098786,-0.163358145456084,-0.801427948172899,-0.666740826735678
"AC105020.6",0.0933198272725679,0.090252515689221,-0.134388602619193,-0.918033254398864,-0.540941980037685
"AC025164.1",-0.629116194262364,-0.231607880473187,-0.84675598041991,0.246327148818833,-0.20881377372409
"ERBB2",-0.0924331033512271,-0.00517694463220869,-0.257298883283756,-0.623231498490095,-0.42290407530667
"AP003306.2",-0.649287903497722,-0.228116043330505,-0.8256106007346,0.268177565308643,-0.0542378024073495
"AC245140.2",-0.309213447355793,-0.0937748378137662,-0.553686062021179,-0.0764220325702012,-0.317632719832848
"AL355388.3",-0.418562021497006,-0.173335673536586,-0.585524583966908,-0.0165428165957646,-0.206717961648365
"FAM222B",0.0656711530738308,0.0919110768038505,0.0108190483764119,-0.572945945823575,-0.234762442764237
"AC010618.3",-0.698897132019371,-0.324310793312363,-0.945767599603972,0.346370074392608,-0.18623930247985
"AC044849.1",-0.287898601377657,0.0177457936422173,-0.457994398376333,-0.232352056361388,-0.273370355695529
"AC005041.5",-0.145490380654243,0.0006342928165326,-0.333151091972531,-0.385598219353759,-0.362139993439508
"TMPO-AS1",-0.201561884803665,0.135814072958446,-0.132114726707237,0.243045648454762,0.508177302504008
"HTRA2",-0.0666658662125079,0.0298510140389423,-0.116321574015138,-0.480024853427913,-0.202794110041042
"TYMSOS",-0.328788348018481,-0.0583453585007316,-0.314364041426884,0.104864499581997,0.31167471414696
"SZT2",-0.716139693324117,-0.359948181778403,-0.878316083479089,0.440497672184911,-0.0396187965694398
"AC034102.4",-0.166792844674595,0.0203228197092933,-0.303479477288845,-0.238191962749835,-0.115783302255035
"AC023355.1",-0.259868270543387,-0.134612926344976,-0.381137307441648,-0.184771527970854,-0.212281710301173
"DDTL",0.061624562093924,0.108438832461552,-0.0358245116201977,-0.527453705978642,-0.274200949011476
"AGBL5",-0.0502258466491573,-0.00421583240838518,-0.279148057291881,-0.203561695872968,-0.233626052451986
"AP001107.1",-0.25185972967689,-0.143977397663691,-0.310530017725159,-0.104397962245913,-0.158583417141821
"ERVK3-1",-0.351866754549315,-0.228701328455164,-0.576223839412051,-0.147731388824809,-0.443873667792338
"AC008622.2",-0.521488152928678,-0.332293892691061,-0.652180775911407,0.090434012360058,-0.297453799846586
"KHNYN",-0.296340316560683,-0.169428494915909,-0.426134919173683,-0.0442462618380528,-0.18711333528333
"AC004707.1",-0.0483084474872397,0.0440497219340114,-0.113619008014817,-0.429410839220123,-0.25198557150914
"AC068580.3",-0.296286890430751,-0.133644361395868,-0.38391336383689,-0.122872295191525,-0.320311985881675
"ZNF771",0.361891734928383,0.225278972679092,0.186541051851022,-0.96210528701745,-0.549942614718376
"EEF2",1.16187909300954,0.783622241569911,1.59178435438773,0.831796946815947,0.780115920275313
"AC104066.4",0.335039714802,0.202276896584075,0.23259731623879,-0.915071248492877,-0.443204724950929
"MFSD11",-0.16058293501286,-0.0176889180568232,-0.28168112139251,-0.304907633496986,-0.240114999125356
"TYW1",0.131453894147714,0.108455749482689,-0.0584941599143477,-0.560251639330674,-0.175860052911207
"GEMIN7-AS1",0.0213022808003369,0.0358492989770103,-0.131935565211967,-0.499160415660334,-0.334740870602868
"OAZ3",-0.202375519987174,-0.081755022176237,-0.407068530566325,-0.0838303175435695,-0.194211236872865
"FTSJ3",-0.0437246803762417,0.0352242081369986,-0.138442314986497,-0.383443911915385,-0.167905558104846
"AC010642.2",-0.202224103088424,-0.0620734486763246,-0.323997266776577,-0.210958318937179,-0.172303729707086
"AC006064.4",-0.114824506610569,0.0706590451261653,-0.342623812456916,-0.11493051618669,-0.241795469125893
"PITPNA",-0.0803945098247715,0.0218489927084092,-0.215029753493266,-0.308425344477769,-0.261989477199591
"GARS-DT",-0.115851753684594,0.0429633772746383,-0.126674600192924,0.0400866149862551,0.0191452662074416
"DNAJC17",-0.631684552769143,-0.385994850741284,-0.784945428436767,0.473039911197692,-0.0441569856337741
"AL391839.2",-0.371124710634389,-0.115558002454429,-0.54417832474845,-0.0266067007719644,-0.149855717484353
"LIX1L-AS1",-0.358656630458231,-0.139330654875031,-0.424968081576646,0.0820173630193491,0.0272468025968055
"WTAP",0.0113928407222213,0.123574986478197,-0.0967463425812621,-0.437304630328626,-0.220565629565456
"CCDC152",0.242905487292952,0.145458666962313,0.246886908700814,-0.761435145359844,-0.335121481720288
"AL121603.2",-0.148460156836835,-0.0237452306933147,-0.277886235032451,-0.241302612815668,-0.204344845740459
"ABHD14A",0.203079027728875,0.140870619272344,0.111445955084639,-0.767905746490581,-0.368938423840489
"AL139289.1",-0.143852234346021,-0.0678569983256908,-0.161373946367381,-0.408552148395899,-0.145590324332448
"BEST1",-0.485645004533435,-0.212927309367784,-0.623697644806295,0.119056033131762,-0.16399132343231
"MIR497HG",-0.234164797544364,0.0469987215994848,-0.485367257692367,-0.0694146723158437,-0.186724221840174
"AC011603.2",-0.524182916884295,-0.177331235351181,-0.596027475303443,0.364896654738144,0.00890663530722025
"SMPD4",-0.224021400007003,0.00478468350270916,-0.455891615972295,-0.118030210920664,-0.142568338948543
"AL662797.1",-0.313627184918513,-0.0918378530541213,-0.382044899432819,0.0403342837745689,0.0220996754921435
"AC093484.3",-0.361011408502191,-0.215426392931551,-0.41794985802459,0.00570069163042378,-0.117131113452187
"TBCB",-0.184555354789404,-0.117149570405559,-0.320331899236968,-0.309876752953704,-0.232607658616945
"TPM1-AS",-0.0404128413080758,0.00146958695425016,-0.178758037225115,-0.425654868335847,-0.240121741375261
"C1orf54",-0.409293575085861,-0.18372296466391,-0.568476987881094,0.117281188457427,-0.156019270990099
"AC020934.2",-0.236888899136658,-0.13360538203205,-0.325958776513448,-0.0319219763806871,-0.185474980071799
"AC109322.1",-0.023295805145029,-0.000723476005508719,-0.188449328337327,-0.326791757607645,-0.314986714195481
"AP002770.1",-0.234686695996672,-0.164060309801563,-0.237150231326966,-0.095642325845919,-0.128285695915622
"ABALON",-0.233550748941888,-0.0957556272994119,-0.318489471928749,-0.154348924038594,-0.209644180574904
"MARS",-0.593765723269978,-0.221383941259489,-0.705417942483157,0.636101233931543,0.193141629965184
"C19orf54",-0.151277684808736,-0.0902169103748408,-0.284171219402492,-0.306929943837169,-0.23890036419459
"AC011446.2",-0.633710467636287,-0.383935279128335,-0.75623359819503,0.530017729489491,-0.0512152185370452
"AC016888.1",-0.323229674312922,-0.145607628275131,-0.381280929184028,-0.00509143562057854,-0.140220912737474
"AP001267.1",-0.227383725350144,-0.0386677440157723,-0.336067078571246,-0.082774949433784,-0.210725036030476
"TPT1",2.25750572059096,1.48034412526921,1.98003013878358,1.43920280447175,1.74414116476196
"RABGEF1",-0.177573192732348,-0.00575616733105946,-0.396812496254134,-0.147659220361983,-0.235899529077638
"HMGN3-AS1",-0.229881111375136,-0.0492321126469284,-0.322675786524185,-0.0158544653592291,-0.121445871037636
"GAS2",-0.265580037667577,-0.0402537755672691,-0.399583035435237,0.0562724068533595,-0.197770822899123
"AC007938.2",-0.147035673205552,-0.0643687136427032,-0.248185827212167,-0.165365791719167,-0.257916424172748
"PDK3",-0.182561695457026,-0.0668557952209477,-0.145747823835837,-0.0867356458172965,-0.0959246455183088
"AC120114.2",0.0273458044062458,0.0362383453272001,-0.0208513376342271,-0.427971284930901,-0.167541659971479
"GADD45GIP1",-0.14221151389374,-0.0413681329693031,-0.181338923558668,-0.0333329848655949,0.00286297306894653
"C12orf73",-0.143402607430791,0.0903106439889833,-0.277997324266362,0.018780617357262,-0.133658124136662
"PSD",-0.0368016863170268,-0.0229562710337053,-0.0678893214616554,-0.428665550574601,-0.279544791924376
"SLC35A5",-0.237370800788334,-0.102255269257296,-0.230368657874628,-0.0186738240532905,-0.148740206023768
"PI4KA",-0.059220622257682,-0.000952433320835111,-0.149897462078784,-0.243548675114068,-0.116359804520741
"CFAP57",-0.0489215035655898,0.0707916542810585,-0.241837990975815,-0.288351122282781,-0.288976817103249
"TUBA1C",-0.385338247552091,-0.131180408444575,-0.562177647799595,0.15859101267478,-0.132109179164919
"RPS19",-0.124389139458875,-0.119935641925745,-0.1666028877164,-0.149838319531686,-0.184455596125211
"ZC3HAV1L",-0.0398257615113407,-0.0157230068141752,-0.117984942622779,-0.332401009741836,-0.232350332164561
"HNRNPU",0.223477458259861,-0.0163966627831618,0.859260915349855,0.626396130106153,0.531408247345755
"AC073263.1",0.010016076109147,0.00447457507462039,-0.0803735735785019,-0.418827179067055,-0.206486500222401
"AL024507.2",-0.207735971531842,-0.102963588925823,-0.120846042635068,-0.0344811289363312,-0.0286643846208876
"RPS29",-0.37440051372637,-0.0176298286044548,-0.415717238555315,0.360932029031009,0.224905974003832
"AL162258.2",-0.239255600848507,-0.066873410960643,-0.365627994080077,-0.0410255988015144,-0.0983562396385429
"LRRC75A",-0.0227592106087817,-0.028546619594607,-0.132711735086406,-0.363858230730597,-0.366199385333665
"SMIM15-AS1",-0.107484059249872,-0.0764614934423955,-0.132642777197841,-0.15702643603956,-0.154541052749119
"SCAND1",0.0549074514239031,0.074044409923374,-0.136761812098161,-0.370097250708696,-0.253409550830941
"AL357079.2",0.138817736227934,0.0320345318701389,0.0825630653231061,-0.588845821187226,-0.314223317959308
"AC009133.4",-0.358580559751725,-0.141926630839148,-0.373905559150379,0.212450725076024,0.0961012091337629
"AL162311.3",0.0265337793743752,0.0657267537600858,-0.0224634941470681,-0.313782107638582,-0.112666796424628
"MCMDC2",-0.12990277018325,0.0116119119081428,-0.235349829907005,-0.180433845566118,-0.152322853261277
"CCDC18",-0.0388403517929976,0.0715144104884232,-0.0147394997855327,0.00117351754150182,0.0955586648515635
"UCHL5",0.136789516174344,0.0686290211636822,0.168750412657407,-0.404555988110128,-0.241648135669199
"TUBB",0.432519081666102,0.283842003325215,0.924829046407427,0.923063346630883,1.08308170004445
"AP003307.1",-0.196936974185304,-0.077399332806911,-0.247693193203593,-0.161607117194084,-0.287125370606927
"GOLPH3",-0.263904624106063,-0.074679005466567,-0.354294924963665,0.181427430057259,-0.109759412333905
"NIT1",-0.149433561402999,0.0247751546556707,-0.253929709817687,-0.0590019090958599,-0.148949864112094
"CRYZ",0.0803847938485057,0.104012494196794,0.0646024196753526,-0.278630262654375,-0.0766390530452834
"STARD7-AS1",-0.13893776733022,-0.0809318759297941,-0.145917018852673,-0.0889068448841972,-0.132884557166633
"LINC00867",-0.0657811716053187,0.0103582439089372,-0.122184365444512,-0.285508687844384,-0.171201542394868
"C9orf43",-0.00925773003260265,0.0586062125006971,-0.131768430138396,-0.0965410986541501,-0.0540692099689186
"SNX22",-0.127432843957255,-0.0271380751832353,-0.254563831351851,-0.137359912193857,-0.263968301689053
"SMARCA5-AS1",-0.105213310104103,-0.108400703904852,-0.0927397971624727,0.0129954030453281,-0.0290310042670403
"TAF10",-0.200722545138092,-0.0645145621826759,-0.290769981550733,0.0299149466690093,-0.0598379051293092
"AC091564.2",-0.288547884138666,-0.138580223360913,-0.358688962340589,0.098689561788532,-0.0737235662346964
"AC004949.1",-0.166416770143022,-0.143938606344316,-0.217176485446644,-0.187430328718196,-0.207107966272396
"AC002550.1",0.154197041494223,0.184907888622991,0.0227399269173056,-0.486621813858264,-0.197936562982899
"CCDC159",0.0772605787940619,0.0872294524566501,0.0153652287427935,-0.494670032839202,-0.316524955422341
"SLC9B1",-0.220298196238865,-0.0342427632122323,-0.417659696061559,0.0674235188588059,-0.015840666489711
"HGS",-0.144102558743863,0.0186754831608122,-0.328017017709514,-0.0984158353523655,-0.0652415584247397
"AL359258.2",-0.319231911634149,-0.16607209983695,-0.309937366412027,0.103332426424982,-0.0664694739797295
"AC003991.2",-0.0946592657141275,-0.0395211262339837,-0.129250631733683,-0.164601721132581,-0.211007211201585
"RBM7",-0.164010390126508,-0.0915559917381335,-0.211435327581905,-0.183003863757967,-0.242262109597731
"LACTB2-AS1",0.105203842373679,0.194888150223237,-0.00747217311065084,-0.456153823656546,-0.138879802957528
"AC097359.2",-0.088574516671119,0.0314279182324813,-0.188505058373383,-0.111615415922999,-0.167713129710773
"YBX1",0.714848803672101,0.376329504898529,1.02069576227247,1.8190863291401,1.34794371558552
"TATDN1",-0.192498875881803,-0.0599183251560566,-0.289499445989554,0.0305993420063237,-0.124404530167836
"PPT1",-0.0527930254245344,0.0576047309300185,-0.166980410906908,-0.0613251040823769,-0.0276082740131658
"MALAT1",0.143596528753068,-0.239768994598752,0.967359441675934,1.25761114295608,0.944399920683472
"AC011825.4",-0.348620102914724,-0.178268421232519,-0.434785968820125,0.0688528284688711,-0.200396837531576
"AC084018.2",-0.0895800769968053,-0.000635468461192057,-0.270847781515567,-0.162415239662492,-0.14908228454955
"MVK",-0.0915709880723597,0.0194161255603542,-0.12742487037823,-0.216154703105606,-0.142369883132423
"PAH",-0.025325459616494,0.000304694443604481,0.00835015262682309,-0.319668571408698,-0.152492059187938
"BUD23",0.0405769321636355,-0.025088516727388,-0.00940286371265651,-0.149332655882264,-0.0809523558598761
"AL139232.1",0.180069567932473,0.0325111390614937,0.0483125367585365,-0.459607617217614,-0.24606215066873
"HSP90B1",1.08135185921653,1.10851610674537,1.45880357987157,1.68305376500592,1.26136871749453
"HOXB3",-0.174161826934264,-0.119669742631148,-0.324008252748318,-0.0276954146326831,-0.208318723143858
"AL445685.1",-0.170682552523013,-0.138666874278927,-0.256361422183307,-0.00693930410986535,-0.192492218095613
"DDX5",0.378852849740655,0.285114443775366,0.473606216269016,1.13103651993896,0.628599716010552
"NUSAP1",-0.226719563520988,0.198854126985042,-0.0197763976877035,0.593737582663473,0.802751672981834
"AC005944.1",-0.17717351965283,-0.101866364021453,-0.274182748445512,-0.0588447938878517,-0.131887354170843
"SMIM10L1",-0.171584976409936,-0.171392375899517,-0.0659365453324019,0.232919056526918,0.0419790576014927
"CPB2-AS1",0.101349183868861,0.0162935622708801,0.1486937605422,-0.458110803482644,-0.160514274543655
"AC145207.2",-0.0805325564312142,0.0408070025795786,-0.240821178525005,-0.167622154735885,-0.151214179676322
"CHEK2",-0.0335940613356031,0.0396938192010464,-0.106717712674423,-0.163782531449387,-0.063900400895316
"CDC42-AS1",-0.210288087146112,-0.0496490517216017,-0.243724109364374,0.0487405534066774,-0.0975567546452767
"AC005841.1",0.278161074266462,0.209475445110587,0.227267445803063,-0.638045705664479,-0.316748058258522
"AGAP2",-0.042542154547844,-0.0769883098644182,-0.196252119502281,-0.321925713160905,-0.302200486900529
"LONP2",-0.111376675489594,-0.0476539286121659,-0.116684034632254,-0.059428149807856,0.00395591754731475
"TWNK",-0.0998518068035073,0.00842094077947536,-0.191790671364192,-0.0650933900499666,-0.095322480146025
"HSP90AB1",1.90414121804152,0.838536177553938,3.19026782893247,-0.207293592675814,0.576463537956886
"AC073569.2",0.0111087784880158,-0.0193654168306549,-0.0722103993613254,-0.330489751674459,-0.16783040875038
"NPC2",-0.121929490468345,0.00893066274582463,-0.125288252609788,-0.17299698070137,-0.158853601412174
"RUVBL1",-0.120875511204785,-0.0512003599496154,-0.167016696805459,0.0516836541012383,-0.00591093927003779
"AC145207.3",-0.115153352653492,-0.038318508294636,-0.150040235753999,-0.179800676375743,-0.142729314249939
"CAPN12",-0.16134425043234,-0.0853392227505549,-0.235095788475672,-0.0985954018198797,-0.0340399249487942
"SYNC",-0.181668839136856,-0.142256842046124,-0.223458703003812,0.23921792028233,-0.0756048896804445
"AL355802.3",0.0503483519860244,0.04272800114015,0.0186935740246092,-0.418998369139771,-0.300768199520899
"CCT6A",0.869987921885349,0.626554955237554,1.09688930087388,0.228765769020858,0.594445647879887
"LINC02240",-0.104939036936074,-0.0545258250076598,-0.168247345626252,-0.260792501970674,-0.210070062581254
"FBXL6",-0.125778303575328,0.0275946295689487,-0.209199141514348,-0.245475045288368,-0.262124974972215
"AL356776.2",-0.259453522214514,-0.0912224580295119,-0.317511153332007,0.0548786115029684,0.00172313564924381
"AP000919.2",-0.235916940358818,-0.130747004589952,-0.345474079677704,0.0496245079638866,-0.0649192094915645
"AC018754.1",0.0606279147758523,0.0617337288984211,0.103190470919711,-0.208545508595613,0.0438832818463227
"AC024592.1",-0.23679675603801,-0.0764203735117355,-0.402161171141185,-0.0220009298911437,-0.146136705154086
"THOC6",-0.0951629286084577,-0.0541482573474718,-0.158138524795709,-0.15644322943789,-0.00113565688448357
"AL160408.2",-0.159028419912299,-0.0669258611560595,-0.195807509033976,-0.210382056821278,-0.183418775534201
"MTRNR2L12",1.58032407915684,0.905739857914128,1.30374941101063,1.50707200707114,1.52721477223388
"ERCC1",0.220487941357701,0.101391414675679,0.127114230207071,-0.500358058426536,-0.3260360457157
"AL590714.1",0.0106228759295889,-0.0570887697241456,0.0326845464731106,-0.260156541889611,-0.155831297646651
"PEX14",0.0421580349949698,0.00813032937323894,-0.00347800992831092,-0.18671323705775,-0.106292204651271
"AC011479.4",-0.115826038887607,-0.0930709537807888,-0.152433379053047,-0.128181315108776,-0.140708184739988
"HOXA-AS3",-0.202187224729696,-0.0817264969457536,-0.216524301606906,-0.101417430728755,-0.0416453907943964
"AL035427.1",-0.07528878312306,-0.00664896344786943,-0.181572707245097,0.0787463809215664,-0.0921332357001983
"DCAF13",0.688137526233754,0.442984940846256,0.635577754874262,-0.112528079544743,0.226176300072258
"MROH8",-0.202969719301567,-0.139651039245603,-0.176304280687232,-0.116979970548928,-0.154845764736421
"PPP1R12A-AS1",-0.156173122801619,0.00584368065570504,-0.15410195570048,0.0515059383494749,-0.00104549130269347
"MAPKAPK5-AS1",-0.0971253781201084,0.0971988867478261,-0.119407496197803,-0.194337329575676,-0.181094970824388
"RPL24",-0.123680654401665,-0.0984274141807025,-0.179799413388618,-0.134571878938808,-0.196415852694273
"HIF1AN",0.118252096261125,0.0521451103435089,0.0411478739789483,-0.319448754342766,-0.137048996281996
"LENG9",-0.345911176619661,-0.189130296853154,-0.451983990883435,0.0624922754430042,-0.183615394851243
"NONO",0.175343808671448,0.175944175052187,0.300214097520058,0.708533736791675,0.498220412112085
"RMND5B",0.0168153370153007,0.042126004815027,-0.0555818831605889,-0.350640946182579,-0.246905910631409
"STMN1",0.23708795796348,-0.244982929402542,0.865270843975401,2.18821563279051,1.61640973004249
"AC080128.2",0.113827676002034,0.130540172486592,0.0947672901011765,-0.476243926845228,-0.161091189574809
