"","V1","V2","V3","V4"
"PC_1",-6.34075001679263,-10.8618771718989,23.3753449094578,-1.84771774038081
"PC_2",-7.1229207447642,-8.16606357372826,-4.84519636335989,16.3826449725214
"PC_3",-10.1151531941998,15.9368202701976,2.7634163514726,0.527391563733649
"PC_4",-1.79498920818146,3.72342737723931,-0.969908574224746,0.326100820630804
"PC_5",0.542324854401432,-1.27670953549999,-0.410269576282391,-0.236430597230602
"PC_6",-0.502042850670758,-0.635958345929117,-0.536629046446432,-0.532187157360047
"PC_7",0.100917926336691,0.00342427898593078,-0.0257284390591183,-0.112684497058883
"PC_8",-0.0437673086966371,-0.129674720531081,0.136173418618421,-0.136924712956082
"PC_9",-0.142808291327244,-0.0111206998294282,-0.235629044042697,-0.0860975033819728
"PC_10",-0.108765776665743,-0.597901840300814,-0.438992134798283,-0.285307507923718
"PC_11",-0.0311151094214191,0.130278002874,-0.039059109486168,0.108095849556127
