NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PLAT	1512	-0.008212760090827942	-0.025170214	Yes	
row_1	MELTF	2278	-0.012656180188059807	-0.011902637	Yes	
row_2	F11	3461	-0.020401056855916977	-0.020092301	Yes	
row_3	CLEC3B	3583	-0.021226514130830765	0.026313076	Yes	
row_4	KLKB1	3668	-0.021850109100341797	0.07462233	Yes	
row_5	APOH	3720	-0.02225697971880436	0.12462965	Yes	
row_6	SERPINF2	3873	-0.02344932034611702	0.16943988	Yes	
row_7	FGB	4324	-0.027285097166895866	0.19891617	Yes	
row_8	RUNX1	6310	-0.04889785125851631	0.14940716	Yes	
row_9	PLAU	6325	-0.04906054958701134	0.20131835	Yes	
row_10	FGG	6337	-0.04926376789808273	0.2533839	Yes	
row_11	CTSZ	8451	-0.08063390105962753	0.19728851	Yes	
row_12	HPN	8714	-0.08489463478326797	0.23643857	Yes	
row_13	SERPINE1	8878	-0.08789775520563126	0.28068277	Yes	
row_14	PLGRKT	10402	-0.11738324165344238	0.25494656	No	
row_15	THBS1	15556	-0.2833271324634552	0.04242427	No	
row_16	PGK1	18989	-0.7673342227935791	-0.08154187	No	
row_17	ENO1	19324	-1.175718069076538	-0.046096668	No	
row_18	SERPINE2	19378	-1.3590312004089355	0.0038077328	No	
